n_trees,sample_size,k_planes,contamination,threshold,majority,accuracy
50,128,1,0.05,0.9,3,
50,128,1,0.05,0.9,5,
50,128,1,0.05,0.9,7,
50,128,1,0.05,0.9,10,
50,128,1,0.05,0.95,3,
50,128,1,0.05,0.95,5,
50,128,1,0.05,0.95,7,
50,128,1,0.05,0.95,10,
50,128,1,0.05,0.98,3,
50,128,1,0.05,0.98,5,
50,128,1,0.05,0.98,7,
50,128,1,0.05,0.98,10,
50,128,1,0.1,0.9,3,
50,128,1,0.1,0.9,5,
50,128,1,0.1,0.9,7,
50,128,1,0.1,0.9,10,
50,128,1,0.1,0.95,3,
50,128,1,0.1,0.95,5,
50,128,1,0.1,0.95,7,
50,128,1,0.1,0.95,10,
50,128,1,0.1,0.98,3,
50,128,1,0.1,0.98,5,
50,128,1,0.1,0.98,7,
50,128,1,0.1,0.98,10,
50,128,2,0.05,0.9,3,
50,128,2,0.05,0.9,5,
50,128,2,0.05,0.9,7,
50,128,2,0.05,0.9,10,
50,128,2,0.05,0.95,3,
50,128,2,0.05,0.95,5,
50,128,2,0.05,0.95,7,
50,128,2,0.05,0.95,10,
50,128,2,0.05,0.98,3,
50,128,2,0.05,0.98,5,
50,128,2,0.05,0.98,7,
50,128,2,0.05,0.98,10,
50,128,2,0.1,0.9,3,
50,128,2,0.1,0.9,5,
50,128,2,0.1,0.9,7,
50,128,2,0.1,0.9,10,
50,128,2,0.1,0.95,3,
50,128,2,0.1,0.95,5,
50,128,2,0.1,0.95,7,
50,128,2,0.1,0.95,10,
50,128,2,0.1,0.98,3,
50,128,2,0.1,0.98,5,
50,128,2,0.1,0.98,7,
50,128,2,0.1,0.98,10,
50,128,3,0.05,0.9,3,
50,128,3,0.05,0.9,5,
50,128,3,0.05,0.9,7,
50,128,3,0.05,0.9,10,
50,128,3,0.05,0.95,3,
50,128,3,0.05,0.95,5,
50,128,3,0.05,0.95,7,
50,128,3,0.05,0.95,10,
50,128,3,0.05,0.98,3,
50,128,3,0.05,0.98,5,
50,128,3,0.05,0.98,7,
50,128,3,0.05,0.98,10,
50,128,3,0.1,0.9,3,
50,128,3,0.1,0.9,5,
50,128,3,0.1,0.9,7,
50,128,3,0.1,0.9,10,
50,128,3,0.1,0.95,3,
50,128,3,0.1,0.95,5,
50,128,3,0.1,0.95,7,
50,128,3,0.1,0.95,10,
50,128,3,0.1,0.98,3,
50,128,3,0.1,0.98,5,
50,128,3,0.1,0.98,7,
50,128,3,0.1,0.98,10,
50,256,1,0.05,0.9,3,
50,256,1,0.05,0.9,5,
50,256,1,0.05,0.9,7,
50,256,1,0.05,0.9,10,
50,256,1,0.05,0.95,3,
50,256,1,0.05,0.95,5,
50,256,1,0.05,0.95,7,
50,256,1,0.05,0.95,10,
50,256,1,0.05,0.98,3,
50,256,1,0.05,0.98,5,
50,256,1,0.05,0.98,7,
50,256,1,0.05,0.98,10,
50,256,1,0.1,0.9,3,
50,256,1,0.1,0.9,5,
50,256,1,0.1,0.9,7,
50,256,1,0.1,0.9,10,
50,256,1,0.1,0.95,3,
50,256,1,0.1,0.95,5,
50,256,1,0.1,0.95,7,
50,256,1,0.1,0.95,10,
50,256,1,0.1,0.98,3,
50,256,1,0.1,0.98,5,
50,256,1,0.1,0.98,7,
50,256,1,0.1,0.98,10,
50,256,2,0.05,0.9,3,
50,256,2,0.05,0.9,5,
50,256,2,0.05,0.9,7,
50,256,2,0.05,0.9,10,
50,256,2,0.05,0.95,3,
50,256,2,0.05,0.95,5,
50,256,2,0.05,0.95,7,
50,256,2,0.05,0.95,10,
50,256,2,0.05,0.98,3,
50,256,2,0.05,0.98,5,
50,256,2,0.05,0.98,7,
50,256,2,0.05,0.98,10,
50,256,2,0.1,0.9,3,
50,256,2,0.1,0.9,5,
50,256,2,0.1,0.9,7,
50,256,2,0.1,0.9,10,
50,256,2,0.1,0.95,3,
50,256,2,0.1,0.95,5,
50,256,2,0.1,0.95,7,
50,256,2,0.1,0.95,10,
50,256,2,0.1,0.98,3,
50,256,2,0.1,0.98,5,
50,256,2,0.1,0.98,7,
50,256,2,0.1,0.98,10,
50,256,3,0.05,0.9,3,
50,256,3,0.05,0.9,5,
50,256,3,0.05,0.9,7,
50,256,3,0.05,0.9,10,
50,256,3,0.05,0.95,3,
50,256,3,0.05,0.95,5,
50,256,3,0.05,0.95,7,
50,256,3,0.05,0.95,10,
50,256,3,0.05,0.98,3,
50,256,3,0.05,0.98,5,
50,256,3,0.05,0.98,7,
50,256,3,0.05,0.98,10,
50,256,3,0.1,0.9,3,
50,256,3,0.1,0.9,5,
50,256,3,0.1,0.9,7,
50,256,3,0.1,0.9,10,
50,256,3,0.1,0.95,3,
50,256,3,0.1,0.95,5,
50,256,3,0.1,0.95,7,
50,256,3,0.1,0.95,10,
50,256,3,0.1,0.98,3,
50,256,3,0.1,0.98,5,
50,256,3,0.1,0.98,7,
50,256,3,0.1,0.98,10,
50,512,1,0.05,0.9,3,
50,512,1,0.05,0.9,5,
50,512,1,0.05,0.9,7,
50,512,1,0.05,0.9,10,
50,512,1,0.05,0.95,3,
50,512,1,0.05,0.95,5,
50,512,1,0.05,0.95,7,
50,512,1,0.05,0.95,10,
50,512,1,0.05,0.98,3,
50,512,1,0.05,0.98,5,
50,512,1,0.05,0.98,7,
50,512,1,0.05,0.98,10,
50,512,1,0.1,0.9,3,
50,512,1,0.1,0.9,5,
50,512,1,0.1,0.9,7,
50,512,1,0.1,0.9,10,
50,512,1,0.1,0.95,3,
50,512,1,0.1,0.95,5,
50,512,1,0.1,0.95,7,
50,512,1,0.1,0.95,10,
50,512,1,0.1,0.98,3,
50,512,1,0.1,0.98,5,
50,512,1,0.1,0.98,7,
50,512,1,0.1,0.98,10,
50,512,2,0.05,0.9,3,
50,512,2,0.05,0.9,5,
50,512,2,0.05,0.9,7,
50,512,2,0.05,0.9,10,
50,512,2,0.05,0.95,3,
50,512,2,0.05,0.95,5,
50,512,2,0.05,0.95,7,
50,512,2,0.05,0.95,10,
50,512,2,0.05,0.98,3,
50,512,2,0.05,0.98,5,
50,512,2,0.05,0.98,7,
50,512,2,0.05,0.98,10,
50,512,2,0.1,0.9,3,
50,512,2,0.1,0.9,5,
50,512,2,0.1,0.9,7,
50,512,2,0.1,0.9,10,
50,512,2,0.1,0.95,3,
50,512,2,0.1,0.95,5,
50,512,2,0.1,0.95,7,
50,512,2,0.1,0.95,10,
50,512,2,0.1,0.98,3,
50,512,2,0.1,0.98,5,
50,512,2,0.1,0.98,7,
50,512,2,0.1,0.98,10,
50,512,3,0.05,0.9,3,
50,512,3,0.05,0.9,5,
50,512,3,0.05,0.9,7,
50,512,3,0.05,0.9,10,
50,512,3,0.05,0.95,3,
50,512,3,0.05,0.95,5,
50,512,3,0.05,0.95,7,
50,512,3,0.05,0.95,10,
50,512,3,0.05,0.98,3,
50,512,3,0.05,0.98,5,
50,512,3,0.05,0.98,7,
50,512,3,0.05,0.98,10,
