n_trees,sample_size,contamination,threshold,majority,Accuracy
50,128,0.05,0.95,7,0.75
50,128,0.05,0.95,10,0.75
50,128,0.05,0.98,7,0.75
50,128,0.05,0.98,10,0.75
50,128,0.1,0.95,7,0.75
50,128,0.1,0.95,10,0.75
50,128,0.1,0.98,7,0.75
50,128,0.1,0.98,10,0.75
50,256,0.05,0.95,7,0.75
50,256,0.05,0.95,10,0.75
50,256,0.05,0.98,7,0.75
50,256,0.05,0.98,10,0.75
50,256,0.1,0.95,7,0.75
50,256,0.1,0.95,10,0.75
50,256,0.1,0.98,7,0.75
50,256,0.1,0.98,10,0.75
100,128,0.05,0.95,7,0.75
100,128,0.05,0.95,10,0.75
100,128,0.05,0.98,7,0.75
100,128,0.05,0.98,10,0.75
100,128,0.1,0.95,7,0.75
100,128,0.1,0.95,10,0.75
100,128,0.1,0.98,7,0.75
100,128,0.1,0.98,10,0.75
100,256,0.05,0.95,7,0.75
100,256,0.05,0.95,10,0.75
100,256,0.05,0.98,7,0.75
100,256,0.05,0.98,10,0.75
100,256,0.1,0.95,7,0.75
100,256,0.1,0.95,10,0.75
100,256,0.1,0.98,7,0.75
100,256,0.1,0.98,10,0.75
